lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
-5.125,41.3125,16.6,0.0,5,4.37,2026-09-15T23:22:07Z
-4.875,41.3125,16.4,0.0,2,4.55,2026-09-15T23:22:07Z
-4.625,41.3125,16.5,0.0,1,3.01,2026-09-15T23:22:07Z
-4.375,41.3125,16.9,0.0,4,2.42,2026-09-15T23:22:07Z
-4.125,41.3125,16.3,0.0,1,3.01,2026-09-15T23:22:07Z
-3.875,41.3125,17.8,0.0,0,0.91,2026-09-15T23:22:07Z
-3.625,41.3125,16.0,0.0,0,0.85,2026-09-15T23:22:07Z
-3.375,41.3125,17.4,0.0,0,2.0,2026-09-15T23:22:07Z
-3.125,41.3125,16.1,0.0,0,2.56,2026-09-15T23:22:07Z
-2.875,41.3125,15.3,0.0,0,2.48,2026-09-15T23:22:07Z
-2.625,41.3125,15.2,0.0,0,3.47,2026-09-15T23:22:07Z
-2.375,41.3125,16.5,0.0,0,2.06,2026-09-15T23:22:07Z
-2.125,41.3125,18.4,0.0,0,1.2,2026-09-15T23:22:07Z
-1.875,41.3125,18.5,0.0,0,2.52,2026-09-15T23:22:07Z
-1.625,41.3125,18.5,0.0,0,1.58,2026-09-15T23:22:07Z
-1.375,41.375,17.0,0.0,15,1.66,2026-09-15T23:22:07Z
-1.125,41.3125,16.7,0.0,36,4.58,2026-09-15T23:22:07Z
-0.875,41.3125,17.9,0.0,0,11.07,2026-09-15T23:22:07Z
-0.625,41.3125,21.4,0.0,0,8.56,2026-09-15T23:22:07Z
-0.375,41.3125,22.2,0.0,0,6.5,2026-09-15T23:22:07Z
-0.125,41.3125,21.6,0.0,19,7.02,2026-09-15T23:22:07Z
0.125,41.3125,23.2,0.0,37,5.79,2026-09-15T23:22:07Z
0.375,41.3125,24.8,0.0,30,3.19,2026-09-15T23:22:07Z
0.625,41.3125,21.6,0.0,39,2.27,2026-09-15T23:22:07Z
0.875,41.375,22.2,0.0,4,2.12,2026-09-15T23:22:07Z
1.0625,41.3125,19.8,0.0,17,2.36,2026-09-15T23:22:07Z
1.375,41.3125,21.4,0.0,37,1.0,2026-09-15T23:22:07Z
1.625,41.3125,19.7,0.0,44,1.46,2026-09-15T23:22:07Z
1.875,41.3125,22.8,0.0,60,1.14,2026-09-15T23:22:07Z
2.125,41.3125,24.4,0.0,45,0.98,2026-09-15T23:22:07Z
2.375,41.3125,27.0,0.0,27,2.73,2026-09-15T23:22:07Z
2.625,41.3125,27.1,0.0,13,3.81,2026-09-15T23:22:07Z
2.875,41.3125,27.1,0.0,23,4.39,2026-09-15T23:22:07Z
