lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
4.7,47.5,18.2,0.0,0,1.22,2026-09-23T18:47:31Z
4.76,47.5,17.5,0.0,0,0.82,2026-09-23T18:47:31Z
4.8,47.5,18.5,0.0,0,0.61,2026-09-23T18:47:31Z
4.86,47.5,18.7,0.0,0,0.5,2026-09-23T18:47:31Z
4.9,47.5,18.6,0.0,5,0.99,2026-09-23T18:47:31Z
4.94,47.5,18.3,0.0,44,1.17,2026-09-23T18:47:31Z
5.0,47.5,17.9,0.0,46,0.8,2026-09-23T18:47:31Z
5.06,47.5,18.2,0.0,44,1.12,2026-09-23T18:47:31Z
5.1,47.5,18.6,0.0,40,1.1,2026-09-23T18:47:31Z
5.16,47.5,18.8,0.0,1,1.49,2026-09-23T18:47:31Z
5.2,47.5,18.1,0.0,0,1.08,2026-09-23T18:47:31Z
5.26,47.5,18.5,0.0,0,0.99,2026-09-23T18:47:31Z
5.3,47.5,19.5,0.0,0,0.92,2026-09-23T18:47:31Z
5.36,47.5,19.0,0.0,0,1.04,2026-09-23T18:47:31Z
5.4,47.5,18.7,0.0,0,0.81,2026-09-23T18:47:31Z
5.44,47.5,19.7,0.0,0,0.73,2026-09-23T18:47:31Z
5.5,47.5,19.5,0.0,0,0.54,2026-09-23T18:47:31Z
5.56,47.5,19.1,0.0,5,0.22,2026-09-23T18:47:31Z
5.6,47.5,20.5,0.0,7,0.45,2026-09-23T18:47:31Z
5.66,47.5,19.8,0.0,5,0.14,2026-09-23T18:47:31Z
5.7,47.5,19.0,0.0,0,0.36,2026-09-23T18:47:31Z
5.76,47.5,18.9,0.0,0,0.54,2026-09-23T18:47:31Z
5.8,47.5,19.9,0.0,0,0.41,2026-09-23T18:47:31Z
5.86,47.5,18.5,0.0,20,0.82,2026-09-23T18:47:31Z
5.9,47.5,19.0,0.0,26,0.91,2026-09-23T18:47:31Z
5.94,47.5,18.9,0.0,29,1.26,2026-09-23T18:47:31Z
4.7,47.54,17.6,0.0,3,1.0,2026-09-23T18:47:31Z
4.76,47.54,18.2,0.0,0,1.3,2026-09-23T18:47:31Z
4.8,47.54,18.1,0.0,0,1.22,2026-09-23T18:47:31Z
4.86,47.54,16.7,0.0,0,0.8,2026-09-23T18:47:31Z
4.9,47.54,17.0,0.0,3,1.04,2026-09-23T18:47:31Z
4.94,47.54,18.3,0.0,47,1.14,2026-09-23T18:47:31Z
5.0,47.54,17.3,0.0,47,0.92,2026-09-23T18:47:31Z
5.06,47.54,18.2,0.0,45,1.3,2026-09-23T18:47:31Z
5.1,47.54,17.6,0.0,43,1.77,2026-09-23T18:47:31Z
5.16,47.54,17.7,0.0,38,1.3,2026-09-23T18:47:31Z
5.2,47.54,18.3,0.0,5,0.94,2026-09-23T18:47:31Z
5.26,47.54,18.6,0.0,0,0.99,2026-09-23T18:47:31Z
5.3,47.54,18.0,0.0,0,1.39,2026-09-23T18:47:31Z
5.36,47.54,17.8,0.0,0,1.42,2026-09-23T18:47:31Z
5.4,47.54,17.9,0.0,0,1.08,2026-09-23T18:47:31Z
5.44,47.54,19.8,0.0,0,0.89,2026-09-23T18:47:31Z
5.5,47.54,20.3,0.0,0,0.78,2026-09-23T18:47:31Z
5.56,47.54,18.9,0.0,2,0.28,2026-09-23T18:47:31Z
